PC(HEX)		Instruction(HEX)		R and EA(HEX)		Contents of R(HEX) and EA(HEX) BE 		Contents of R(HEX) and EA(HEX) AE
181			640			R5 CE			0 8182			214			R5 CD			5 4					5 214
183			F10			R5 196			5 5					5 F10
2C			FB0			R4 36			8 FFF					8 FB0
2E			309			R5 36			380 FFF					380 309
2F			704			R5 37			380 380					700 704
30			434			R5 37			700 380					700 434
25			212			R5 24			700 212					700 212
26			F20			R5 37			700 700					700 F20
27			403			R5 37			700 700					700 403
2B			18B			R4 2A			8 18B					7 18B
2C			FB0			R4 36			7 FFF					7 FB0
2E			309			R5 36			700 FFF					700 309
2F			704			R5 37			700 700					E00 704
30			434			R5 37			E00 700					E00 434
25			212			R5 24			E00 212					E00 212
26			F20			R5 37			E00 E00					E00 F20
28			310			R5 37			E00 E00					0 310
29			720			R5 38			0 0					1 720
2A			20E			R5 38			1 0					1 20E
2B			18B			R4 38			7 1					6 18B
2C			FB0			R4 36			6 FFF					6 FB0
2E			309			R5 36			1 FFF					E00 309
2F			704			R5 37			E00 E00					1C00 704
30			434			R5 37			1C00 E00					1C00 434
25			212			R5 24			1C00 212					1C00 212
26			F20			R5 37			1C00 E00					1C00 F20
28			310			R5 37			1C00 E00					1 310
29			720			R5 38			1 1					2 720
2A			20E			R5 38			2 1					2 20E
2B			18B			R4 38			6 2					5 18B
2C			FB0			R4 36			5 FFF					5 FB0
2E			309			R5 36			2 FFF					E00 309
2F			704			R5 37			E00 E00					1C00 704
30			434			R5 37			1C00 E00					1C00 434
25			212			R5 24			1C00 212					1C00 212
26			F20			R5 37			1C00 E00					1C00 F20
28			310			R5 37			1C00 E00					2 310
29			720			R5 38			2 2					3 720
2A			20E			R5 38			3 2					3 20E
2B			18B			R4 38			5 3					4 18B
2C			FB0			R4 36			4 FFF					4 FB0
2E			309			R5 36			3 FFF					E00 309
2F			704			R5 37			E00 E00					1C00 704
30			434			R5 37			1C00 E00					1C00 434
25			212			R5 24			1C00 212					1C00 212
26			F20			R5 37			1C00 E00					1C00 F20
28			310			R5 37			1C00 E00					3 310
29			720			R5 38			3 3					4 720
2A			20E			R5 38			4 3					4 20E
2B			18B			R4 38			4 4					3 18B
2C			FB0			R4 36			3 FFF					3 FB0
2E			309			R5 36			4 FFF					E00 309
2F			704			R5 37			E00 E00					1C00 704
30			434			R5 37			1C00 E00					1C00 434
25			212			R5 24			1C00 212					1C00 212
26			F20			R5 37			1C00 E00					1C00 F20
28			310			R5 37			1C00 E00					4 310
29			720			R5 38			4 4					5 720
2A			20E			R5 38			5 4					5 20E
2B			18B			R4 38			3 5					2 18B
2C			FB0			R4 36			2 FFF					2 FB0
2E			309			R5 36			5 FFF					E00 309
2F			704			R5 37			E00 E00					1C00 704
30			434			R5 37			1C00 E00					1C00 434
25			212			R5 24			1C00 212					1C00 212
26			F20			R5 37			1C00 E00					1C00 F20
28			310			R5 37			1C00 E00					5 310
29			720			R5 38			5 5					6 720
2A			20E			R5 38			6 5					6 20E
2B			18B			R4 38			2 6					1 18B
2C			FB0			R4 36			1 FFF					1 FB0
2E			309			R5 36			6 FFF					E00 309
2F			704			R5 37			E00 E00					1C00 704
30			434			R5 37			1C00 E00					1C00 434
25			212			R5 24			1C00 212					1C00 212
26			F20			R5 37			1C00 E00					1C00 F20
28			310			R5 37			1C00 E00					6 310
29			720			R5 38			6 6					7 720
2A			20E			R5 38			7 6					7 20E
2B			18B			R4 38			1 7					0 18B
2C			FB0			R4 36			0 FFF					0 FB0
2D			403			R5 36			7 FFF					7 403
31			308			R5 30			7 308					70 308
32			620			R5 39			70 7033			305			R5 D9			70 6					7 305
34			620			R5 38			7 735			610			R5 DA			7 454			640			R5 1AA			0 A55			20B			R5 9A			2 4					2 20B
56			640			R5 60			2 257			20A			R5 11A			1 620					1 20A
58			640			R5 61			1 1101			640			R5 19D			0 159			209			R5 19D			2 1					2 209
5A			52F			R5 62			2 2					5A 52F
4A			21A			R5 49			5A 21A					5A 21A
4B			315			R5 64			5A 5A					2 315
4C			211			R5 60			2 2					2 211
4D			314			R5 5D			2 2					1 314
4E			210			R5 61			1 1					1 210
4F			531			R5 5E			1 1					4F 531
41			21E			R5 40			4F 21E					4F 21E
42			740			R5 5F			4F 4F					0 740
43			39B			R4 5F			0 4F					1 39B
44			F90			R4 5E			1 1					1 F90
46			117			R5 5E			0 1					2 117
47			195			R4 5D			1 2					0 195
48			43B			R5 5C			2 FFF					2 43B
44			F90			R4 43			0 F90					0 F90
45			483			R4 43			0 F90					0 483
49			C16			R5 48			2 C16					2 C16
50			112			R5 4F			2 112					4 112
51			12			R5 62			4 2					F04 12
52			20E			R5 63			F04 FF					F04 20E
53			C11			R5 60			F04 F04					F04 C11
5B			620			R5 5A			F04 620102			38B			R4 CA			0 FFB					1 38B
103			6A0			R4 10D			1 15C			610			R5 D			F04 1104			18B			R4 99			1 3					2 18B
105			288			R4 10F			2 1					2 288
106			388			R4 10D			2 2					2 388
107			6A0			R4 10E			2 2108			186			R4 19A			2 2					4 186
109			285			R4 10E			4 2					4 285
10A			106			R5 10E			7 4					6 106
10B			F40			R5 110			6 FFF					6 F40
10C			435			R5 110			6 FFF					6 435
102			38B			R4 101			4 38B					2 38B
103			6A0			R4 10D			2 2104			18B			R4 CA			2 FFB					3 18B
105			288			R4 10F			3 1					3 288
106			388			R4 10D			3 3					4 388
107			6A0			R4 10E			4 4108			186			R4 95			4 72					8 186
109			285			R4 10E			8 4					8 285
10A			106			R5 10E			6 8					5 106
10B			F40			R5 110			5 FFF					5 F40
10C			435			R5 110			5 FFF					5 435
102			38B			R4 101			8 38B					3 38B
103			6A0			R4 10D			3 3104			18B			R4 98			3 0					4 18B
105			288			R4 10F			4 1					4 288
106			388			R4 10D			4 4					8 388
107			6A0			R4 10E			8 8108			186			R4 18A			8 FFC					10 186
109			285			R4 10E			10 8					10 285
10A			106			R5 10E			5 10					4 106
10B			F40			R5 110			4 FFF					4 F40
10C			435			R5 110			4 FFF					4 435
102			38B			R4 101			10 38B					4 38B
103			6A0			R4 10D			4 4104			18B			R4 5D			4 B					5 18B
105			288			R4 10F			5 1					5 288
106			388			R4 10D			5 5					10 388
107			6A0			R4 10E			10 10108			186			R4 5F			10 6					20 186
109			285			R4 10E			20 10					20 285
10A			106			R5 10E			4 20					3 106
10B			F40			R5 110			3 FFF					3 F40
10C			435			R5 110			3 FFF					3 435
102			38B			R4 101			20 38B					5 38B
103			6A0			R4 10D			5 5104			18B			R4 18A			5 FFC					6 18B
105			288			R4 10F			6 1					6 288
106			388			R4 10D			6 6					20 388
107			6A0			R4 10E			20 20108			186			R4 192			20 2					40 186
109			285			R4 10E			40 20					40 285
10A			106			R5 10E			3 40					2 106
10B			F40			R5 110			2 FFF					2 F40
10C			435			R5 110			2 FFF					2 435
102			38B			R4 101			40 38B					6 38B
103			6A0			R4 10D			6 6104			18B			R4 194			6 B					7 18B
105			288			R4 10F			7 1					7 288
106			388			R4 10D			7 7					40 388
107			6A0			R4 10E			40 401			640			R5 10E			0 40108			186			R4 5C			40 1					80 186
109			285			R4 10E			80 40					80 285
10A			106			R5 10E			2 80					1 106
10B			F40			R5 110			1 FFF					1 F40
10C			435			R5 110			1 FFF					1 435
102			38B			R4 101			80 38B					7 38B
103			6A0			R4 10D			7 72			214			R5 DB			3 3					3 214
3			640			R5 16			3 3104			18B			R4 5C			7 1					8 18B
105			288			R4 10F			8 1					8 288
106			388			R4 10D			8 8					80 388
107			6A0			R4 10E			80 804			213			R5 DD			7 1B					7 213
5			395			R4 17			0 7					0 395
6			110			R5 1A			7 0					A 110
7			211			R5 16			A 3					A 211
8			F30			R5 18			A A					A F30
A			38E			R4 18			0 A					A 38E
B			30D			R5 18			A A					A 30D
C			10D			R5 18			A A					9 10D
D			18B			R4 19			A FFF					14 18B
E			10B			R5 18			9 A					8 10B
F			F40			R5 19			8 FFF					8 F40
10			43C			R5 19			8 FFF					8 43C
D			18B			R4 C			14 18B					1E 18B
E			10B			R5 18			8 A					7 10B
F			F40			R5 19			7 FFF					7 F40
10			43C			R5 19			7 FFF					7 43C
D			18B			R4 C			1E 18B					28 18B
E			10B			R5 18			7 A					6 10B
F			F40			R5 19			6 FFF					6 F40
10			43C			R5 19			6 FFF					6 43C
D			18B			R4 C			28 18B					32 18B
E			10B			R5 18			6 A					5 10B
F			F40			R5 19			5 FFF					5 F40
10			43C			R5 19			5 FFF					5 43C
D			18B			R4 C			32 18B					3C 18B
E			10B			R5 18			5 A					4 10B
F			F40			R5 19			4 FFF					4 F40
10			43C			R5 19			4 FFF					4 43C
D			18B			R4 C			3C 18B					46 18B
E			10B			R5 18			4 A					3 10B
F			F40			R5 19			3 FFF					3 F40
10			43C			R5 19			3 FFF					3 43C
D			18B			R4 C			46 18B					50 18B
E			10B			R5 18			3 A					2 10B
F			F40			R5 19			2 FFF					2 F40
10			43C			R5 19			2 FFF					2 43C
D			18B			R4 C			50 18B					5A 18B
E			10B			R5 18			2 A					1 10B
F			F40			R5 19			1 FFF					1 F40
10			43C			R5 19			1 FFF					1 43C
D			18B			R4 C			5A 18B					64 18B
E			10B			R5 18			1 A					0 10B
F			F40			R5 19			0 FFF					0 F40
11			305			R5 19			0 FFF					3 305
12			620			R5 16			3 3108			186			R4 5C			80 1					100 186
109			285			R4 10E			100 80					100 285
10A			106			R5 10E			1 100					0 106
10B			F40			R5 110			0 FFF					0 F40
10D			610			R5 110			0 FFF13			304			R5 9E			3 0					7 304
14			620			R5 17			7 715			6A0			R4 9E			64 116			610			R5 9E			7 141			640			R5 19E			0 842			217			R5 14			E 1C					E 217
43			316			R5 59			E E					E 316
44			14			R5 59			E E					7F1 14
45			F30			R5 58			7F1 800					7F1 F30
47			315			R5 58			7F1 800					1 315
48			620			R5 5C			1 149			402			R5 9D			1 9					1 402
4C			30C			R5 4B			1 30C					800 30C
4D			702			R5 58			800 800					400 702
4E			20A			R5 58			400 800					400 20A
4F			30C			R5 58			400 400					C 30C
50			10A			R5 5B			C C					B 10A
51			20A			R5 5A			B FFF					B 20A
52			F40			R5 5B			B B					B F40
53			42F			R5 5B			B B					B 42F
43			316			R5 42			B 316					E 316
44			14			R5 59			E E					BF1 14
45			F30			R5 58			BF1 400					BF1 F30
47			315			R5 58			BF1 400					1 315
48			620			R5 5C			1 149			402			R5 194			1 1C					1 402
4C			30C			R5 4B			1 30C					400 30C
4D			702			R5 58			400 400					200 702
4E			20A			R5 58			200 400					200 20A
4F			30C			R5 58			200 200					B 30C
50			10A			R5 5B			B B					A 10A
51			20A			R5 5A			A FFF					A 20A
52			F40			R5 5B			A A					A F40
53			42F			R5 5B			A A					A 42F
43			316			R5 42			A 316					E 316
44			14			R5 59			E E					DF1 14
45			F30			R5 58			DF1 200					DF1 F30
47			315			R5 58			DF1 200					1 315
48			620			R5 5C			1 149			402			R5 1AA			1 D					1 402
4C			30C			R5 4B			1 30C					200 30C
4D			702			R5 58			200 200					100 702
4E			20A			R5 58			100 200					100 20A
4F			30C			R5 58			100 100					A 30C
50			10A			R5 5B			A A					9 10A
51			20A			R5 5A			9 FFF					9 20A
52			F40			R5 5B			9 9					9 F40
53			42F			R5 5B			9 9					9 42F
43			316			R5 42			9 316					E 316
44			14			R5 59			E E					EF1 14
45			F30			R5 58			EF1 100					EF1 F30
47			315			R5 58			EF1 100					1 315
48			620			R5 5C			1 149			402			R5 D6			1 3					1 402
4C			30C			R5 4B			1 30C					100 30C
4D			702			R5 58			100 100					80 702
4E			20A			R5 58			80 100					80 20A
4F			30C			R5 58			80 80					9 30C
50			10A			R5 5B			9 9					8 10A
51			20A			R5 5A			8 FFF					8 20A
52			F40			R5 5B			8 8					8 F40
53			42F			R5 5B			8 8					8 42F
43			316			R5 42			8 316					E 316
44			14			R5 59			E E					F71 14
45			F30			R5 58			F71 80					F71 F30
47			315			R5 58			F71 80					1 315
48			620			R5 5C			1 149			402			R5 A			1 8					1 402
4C			30C			R5 4B			1 30C					80 30C
4D			702			R5 58			80 80					40 702
4E			20A			R5 58			40 80					40 20A
4F			30C			R5 58			40 40					8 30C
50			10A			R5 5B			8 8					7 10A
51			20A			R5 5A			7 FFF					7 20A
52			F40			R5 5B			7 7					7 F40
53			42F			R5 5B			7 7					7 42F
43			316			R5 42			7 316					E 316
44			14			R5 59			E E					FB1 14
45			F30			R5 58			FB1 40					FB1 F30
47			315			R5 58			FB1 40					1 315
48			620			R5 5C			1 149			402			R5 9F			1 2					1 402
4C			30C			R5 4B			1 30C					40 30C
4D			702			R5 58			40 40					20 702
4E			20A			R5 58			20 40					20 20A
4F			30C			R5 58			20 20					7 30C
50			10A			R5 5B			7 7					6 10A
51			20A			R5 5A			6 FFF					6 20A
52			F40			R5 5B			6 6					6 F40
53			42F			R5 5B			6 6					6 42F
43			316			R5 42			6 316					E 316
44			14			R5 59			E E					FD1 14
45			F30			R5 58			FD1 20					FD1 F30
47			315			R5 58			FD1 20					1 315
48			620			R5 5C			1 149			402			R5 A0			1 4					1 402
4C			30C			R5 4B			1 30C					20 30C
4D			702			R5 58			20 20					10 702
4E			20A			R5 58			10 20					10 20A
4F			30C			R5 58			10 10					6 30C
50			10A			R5 5B			6 6					5 10A
51			20A			R5 5A			5 FFF					5 20A
52			F40			R5 5B			5 5					5 F40
53			42F			R5 5B			5 5					5 42F
43			316			R5 42			5 316					E 316
44			14			R5 59			E E					FE1 14
45			F30			R5 58			FE1 10					FE1 F30
47			315			R5 58			FE1 10					1 315
48			620			R5 5C			1 149			402			R5 19C			1 FFF					1 402
4C			30C			R5 4B			1 30C					10 30C
4D			702			R5 58			10 10					8 702
4E			20A			R5 58			8 10					8 20A
4F			30C			R5 58			8 8					5 30C
50			10A			R5 5B			5 5					4 10A
51			20A			R5 5A			4 FFF					4 20A
52			F40			R5 5B			4 4					4 F40
53			42F			R5 5B			4 4					4 42F
43			316			R5 42			4 316					E 316
44			14			R5 59			E E					FF9 14
45			F30			R5 58			FF9 8					FF9 F30
47			315			R5 58			FF9 8					1 315
48			620			R5 5C			1 149			402			R5 11C			1 1					1 402
4C			30C			R5 4B			1 30C					8 30C
4D			702			R5 58			8 8					4 702
4E			20A			R5 58			4 8					4 20A
4F			30C			R5 58			4 4					4 30C
50			10A			R5 5B			4 4					3 10A
51			20A			R5 5A			3 FFF					3 20A
52			F40			R5 5B			3 3					3 F40
53			42F			R5 5B			3 3					3 42F
43			316			R5 42			3 316					E 316
44			14			R5 59			E E					FF5 14
45			F30			R5 58			FF5 4					FF5 F30
47			315			R5 58			FF5 4					1 315
48			620			R5 5C			1 149			402			R5 11C			1 1					1 402
4C			30C			R5 4B			1 30C					4 30C
4D			702			R5 58			4 4					2 702
4E			20A			R5 58			2 4					2 20A
4F			30C			R5 58			2 2					3 30C
50			10A			R5 5B			3 3					2 10A
51			20A			R5 5A			2 FFF					2 20A
52			F40			R5 5B			2 2					2 F40
53			42F			R5 5B			2 2					2 42F
43			316			R5 42			2 316					E 316
44			14			R5 59			E E					FF3 14
45			F30			R5 58			FF3 2					FF3 F30
47			315			R5 58			FF3 2					1 315
48			620			R5 5C			1 149			402			R5 11C			1 1					1 402
4C			30C			R5 4B			1 30C					2 30C
4D			702			R5 58			2 2					1 702
4E			20A			R5 58			1 2					1 20A
4F			30C			R5 58			1 1					2 30C
50			10A			R5 5B			2 2					1 10A
51			20A			R5 5A			1 FFF					1 20A
52			F40			R5 5B			1 1					1 F40
53			42F			R5 5B			1 1					1 42F
43			316			R5 42			1 316					E 316
44			14			R5 59			E E					FF0 14
45			F30			R5 58			FF0 1					FF0 F30
47			315			R5 58			FF0 1					1 315
48			620			R5 5C			1 149			402			R5 11C			1 1					1 402
4C			30C			R5 4B			1 30C					1 30C
4D			702			R5 58			1 1					0 702
4E			20A			R5 58			0 1					0 20A
4F			30C			R5 58			0 0					1 30C
50			10A			R5 5B			1 1					0 10A
51			20A			R5 5A			0 FFF					0 20A
52			F40			R5 5B			0 0					0 F40
54			610			R5 5B			0 081			740			R5 1AD			0 282					0 740
82			216			R5 1AD			0 282					0 216
83			392			R4 98			0 0					C 392
84			315			R5 95			0 C					70 315
85			212			R5 99			70 70					70 212
86			F20			R5 97			70 70					70 F20
87			403			R5 97			70 70					70 403
8B			18B			R4 8A			C 18B					B 18B
8C			FB0			R4 96			B FFF					B FB0
8E			309			R5 96			70 FFF					70 309
8F			704			R5 97			70 70					E0 704
90			434			R5 97			E0 70					E0 434
85			212			R5 84			E0 212					E0 212
86			F20			R5 97			E0 E0					E0 F20
87			403			R5 97			E0 E0					E0 403
8B			18B			R4 8A			B 18B					A 18B
8C			FB0			R4 96			A FFF					A FB0
8E			309			R5 96			E0 FFF					E0 309
8F			704			R5 97			E0 E0					1C0 704
90			434			R5 97			1C0 E0					1C0 434
85			212			R5 84			1C0 212					1C0 212
86			F20			R5 97			1C0 1C0					1C0 F20
87			403			R5 97			1C0 1C0					1C0 403
8B			18B			R4 8A			A 18B					9 18B
8C			FB0			R4 96			9 FFF					9 FB0
8E			309			R5 96			1C0 FFF					1C0 309
8F			704			R5 97			1C0 1C0					380 704
90			434			R5 97			380 1C0					380 434
85			212			R5 84			380 212					380 212
86			F20			R5 97			380 380					380 F20
87			403			R5 97			380 380					380 403
8B			18B			R4 8A			9 18B					8 18B
8C			FB0			R4 96			8 FFF					8 FB0
8E			309			R5 96			380 FFF					380 309
8F			704			R5 97			380 380					700 704
90			434			R5 97			700 380					700 434
85			212			R5 84			700 212					700 212
86			F20			R5 97			700 700					700 F20
87			403			R5 97			700 700					700 403
8B			18B			R4 8A			8 18B					7 18B
8C			FB0			R4 96			7 FFF					7 FB0
8E			309			R5 96			700 FFF					700 309
8F			704			R5 97			700 700					E00 704
90			434			R5 97			E00 700					E00 434
85			212			R5 84			E00 212					E00 212
86			F20			R5 97			E00 E00					E00 F20
88			310			R5 97			E00 E00					0 310
89			720			R5 98			0 0					1 720
8A			20E			R5 98			1 0					1 20E
8B			18B			R4 98			7 1					6 18B
8C			FB0			R4 96			6 FFF					6 FB0
8E			309			R5 96			1 FFF					E00 309
8F			704			R5 97			E00 E00					1C00 704
90			434			R5 97			1C00 E00					1C00 434
85			212			R5 84			1C00 212					1C00 212
86			F20			R5 97			1C00 E00					1C00 F20
88			310			R5 97			1C00 E00					1 310
89			720			R5 98			1 1					2 720
8A			20E			R5 98			2 1					2 20E
8B			18B			R4 98			6 2					5 18B
8C			FB0			R4 96			5 FFF					5 FB0
8E			309			R5 96			2 FFF					E00 309
8F			704			R5 97			E00 E00					1C00 704
90			434			R5 97			1C00 E00					1C00 434
85			212			R5 84			1C00 212					1C00 212
86			F20			R5 97			1C00 E00					1C00 F20
88			310			R5 97			1C00 E00					2 310
89			720			R5 98			2 2					3 720
8A			20E			R5 98			3 2					3 20E
8B			18B			R4 98			5 3					4 18B
8C			FB0			R4 96			4 FFF					4 FB0
8E			309			R5 96			3 FFF					E00 309
8F			704			R5 97			E00 E00					1C00 704
90			434			R5 97			1C00 E00					1C00 434
85			212			R5 84			1C00 212					1C00 212
86			F20			R5 97			1C00 E00					1C00 F20
88			310			R5 97			1C00 E00					3 310
89			720			R5 98			3 3					4 720
8A			20E			R5 98			4 3					4 20E
8B			18B			R4 98			4 4					3 18B
8C			FB0			R4 96			3 FFF					3 FB0
8E			309			R5 96			4 FFF					E00 309
8F			704			R5 97			E00 E00					1C00 704
90			434			R5 97			1C00 E00					1C00 434
85			212			R5 84			1C00 212					1C00 212
86			F20			R5 97			1C00 E00					1C00 F20
88			310			R5 97			1C00 E00					4 310
89			720			R5 98			4 4					5 720
8A			20E			R5 98			5 4					5 20E
8B			18B			R4 98			3 5					2 18B
8C			FB0			R4 96			2 FFF					2 FB0
8E			309			R5 96			5 FFF					E00 309
8F			704			R5 97			E00 E00					1C00 704
90			434			R5 97			1C00 E00					1C00 434
85			212			R5 84			1C00 212					1C00 212
86			F20			R5 97			1C00 E00					1C00 F20
88			310			R5 97			1C00 E00					5 310
89			720			R5 98			5 5					6 720
8A			20E			R5 98			6 5					6 20E
8B			18B			R4 98			2 6					1 18B
8C			FB0			R4 96			1 FFF					1 FB0
8E			309			R5 96			6 FFF					E00 309
8F			704			R5 97			E00 E00					1C00 704
90			434			R5 97			1C00 E00					1C00 434
85			212			R5 84			1C00 212					1C00 212
86			F20			R5 97			1C00 E00					1C00 F20
88			310			R5 97			1C00 E00					6 310
89			720			R5 98			6 6					7 720
8A			20E			R5 98			7 6					7 20E
8B			18B			R4 98			1 7					0 18B
8C			FB0			R4 96			0 FFF					0 FB0
8D			403			R5 96			7 FFF					7 403
91			308			R5 90			7 308					70 308
92			620			R5 99			70 7093			305			R5 5F			70 5					7 305
94			620			R5 98			7 795			610			R5 5F			7 5181			640			R5 DE			0 2182			6C0			R4 DE			0 3183			21A			R5 DE			4 5					4 21A
184			21A			R5 19D			4 4					4 21A
185			29A			R4 19E			5 4					5 29A
186			FB0			R4 19F			5 5					5 FB0
188			790			R4 19F			5 5					FFA 790
189			197			R4 19F			FFA 5					FFB 197
18A			297			R4 1A0			FFB 1					FFB 297
18B			396			R4 1A1			FFB FFB					FFB 396
18C			192			R4 1A1			FFB FFB					FFF 192
18D			291			R4 19E			FFF 4					FFF 291
18E			FE0			R4 19E			FFF FFF					FFF FE0
190			FA0			R4 19E			FFF FFF					FFF FA0
192			28C			R4 19E			FFF FFF					FFF 28C
193			38B			R4 19E			FFF FFF					FFF 38B
194			F00			R5 19E			4 FFF					4 F00
195			18A			R4 19E			FFF FFF					4 18A
196			F00			R5 19F			4 5					4 F00
197			F00			R5 19F			4 5					4 F00
198			305			R5 19F			4 5					4 305
199			620			R5 19D			4 419A			305			R5 DE			4 8					5 305
19B			620			R5 19F			5 519C			6A0			R4 DE			4 D19D			610			R5 DE			5 15
